89,Recepcjonistka,1985-04-18,11289.95,1985-05-23,4127
90,Specjalista ds. inwestycji,2017-04-19,11452.54,2017-07-13,4444
91,Urzędnik państwowy,1994-03-08,10476.8,1994-06-21,2544
92,Programista baz danych,1971-02-20,6333.63,1971-06-02,1699
93,Konsultant ds. Wdrożeń,2009-06-10,8648.3,2009-08-20,4401
94,Konsultant ds. Wdrożeń,1976-04-02,2778.68,1976-06-09,1658
95,Koordynator robót budowlanych,1991-03-07,2518.35,1991-03-24,4267
96,Ekonomista,1990-07-26,7737.02,1990-08-15,2129
97,Specjalista ds. zakupów,1984-12-28,10915.02,1985-04-12,1688
98,Specjalista ds. windykacji,1971-06-11,9708.49,1971-07-01,1119
99,Inżynier Budowy,1994-03-03,5319.25,1994-04-05,4038
100,Telemarketer,2012-10-27,10436.34,2012-12-13,1086
101,Specjalista ds. turystyki,1973-02-24,4208.65,1973-05-20,1762
102,Prezenter,1993-10-16,6048.55,1993-11-04,1626
103,Administrator danych osobowych,1989-06-13,3524.47,1989-09-14,3736
104,Urzędnik państwowy,2014-02-13,2658.43,2014-06-07,4392
105,Specjalista ds. transportu,1981-07-21,5106.31,1981-08-27,2653
106,Pracownik biurowy,1981-05-15,11095.53,1981-06-14,1762
107,Recepcjonistka,1994-05-02,10424.05,1994-06-20,2334
108,Ekonomista,1992-08-22,3551.75,1992-11-20,341
109,Konstruktor,2001-09-23,5875.28,2001-10-20,4871
110,Kosztorysant,1971-01-21,5138.11,1971-04-03,4796
111,Specjalista ds. BHP,2017-11-23,3340.37,2018-03-04,933
112,Specjalista ds. transportu,1975-07-19,3194.75,1975-09-27,2041
113,Inżynier Budowy,1995-11-13,4850.56,1995-12-05,2925
114,Pracownik biurowy,2008-05-02,6397.91,2008-06-27,2629
115,Specjalista ds. zakupów,2016-06-01,3645.46,2016-07-22,4101
116,Przedstawiciel medyczny,1976-04-23,3083.14,1976-06-26,1257
117,Pracownik biurowy,2004-08-03,10443.33,2004-10-28,2493
118,Tester aplikacji,2008-11-18,6285.63,2009-02-02,3165
119,Konstruktor,2015-05-02,8474.69,2015-05-06,4008
120,Office Manager,2004-05-12,4584.31,2004-05-23,2923
121,Specjalista ds. reklamacji,1973-02-09,6006.18,1973-03-08,2313
122,Geodeta,1986-12-03,5342.95,1987-02-18,4852
123,Inżynier Środowiska,2013-10-23,5524.89,2014-01-10,2289
124,Urzędnik państwowy,2016-05-13,9178.28,2016-08-10,2130
125,Pracownik socjalny,2016-03-20,7665.63,2016-06-15,2466
126,Doradca techniczno-handlowy,2015-02-07,3419.64,2015-03-26,4021
127,Specjalista ds. PR,2012-11-05,8451.2,2013-01-02,3510
128,Lekarz,1994-03-10,3536.68,1994-07-08,3775
129,Lektor,2003-04-09,7351.82,2003-06-25,1456
130,Projektant konstrukcji budowlanych,1994-05-10,6790.48,1994-06-16,1153
131,Farmaceuta,2013-05-03,1647.34,2013-07-09,668
132,Notariusz,1974-12-14,4001.15,1975-02-25,303
133,Dziennikarz,2015-11-24,5928.9,2016-02-13,2779
134,Koordynator sprzedaży,1984-05-22,3565.01,1984-08-09,4065
135,Specjalista ds. turystyki,2016-08-01,4811.68,2016-10-10,384
136,Pracownik socjalny,2014-11-25,3178.54,2014-12-09,3943
137,Recepcjonistka,2003-04-15,1668.62,2003-07-27,4774
138,Dyrektor ds. Rozwoju,2000-09-22,6606.73,2001-01-13,4594
139,Notariusz,1987-07-16,1693.61,1987-08-03,2826
140,Architekt budownictwa,2000-04-10,2947.25,2000-05-03,4397
141,Lekarz,1976-09-13,7141.37,1976-12-18,4554
142,Asystentka zarządu,2006-01-06,7949.51,2006-02-25,115
143,Kierownik Magazynu,1980-11-18,7740.58,1981-01-04,1088
144,Pracownik socjalny,1993-12-23,4294.69,1994-04-22,592
145,Specjalista ds. inwestycji,2000-10-10,10578.01,2001-02-06,1124
146,Inżynier utrzymania ruchu,1993-01-04,2574.43,1993-02-10,1086
147,Kierownik Magazynu,2014-07-09,7381.4,2014-10-12,3045
148,Tester aplikacji,2009-01-21,2590.5,2009-03-28,436
149,Specjalista ds. zakupów,1992-07-25,10198.42,1992-10-08,2400
150,Lektor,1978-05-24,6892.13,1978-08-19,4804
151,Webmaster,2014-02-16,8631.4,2014-04-10,4302
152,Specjalista ds. BHP,2007-01-24,10660.5,2007-03-24,334
153,Tester aplikacji,2015-09-04,1570.77,2015-09-25,3250
154,Ekonomista,1991-06-09,4809.48,1991-09-18,1665
155,Office Manager,1976-02-10,6567.71,1976-02-28,4194
156,Projektant wzornictwa,1979-01-11,3514.61,1979-03-27,4275
157,Projektant IT,1979-01-04,7496.5,1979-01-05,4832
158,Dyrektor ds. Sprzedaży,2013-04-19,7409.47,2013-04-29,3642
159,Prezenter,1977-06-16,4719.68,1977-09-07,3932
160,Lekarz,2017-08-22,9728.01,2017-09-27,3500
161,Doradca zawodowy,1997-09-21,2030.12,1997-12-03,1549
162,Tłumacz,1970-06-14,6756.73,1970-07-18,2469
163,Dyrektor ds. Finansowych,1970-07-10,8854.59,1970-10-30,2618
164,Przedstawiciel handlowy,1970-10-13,7425.39,1970-11-12,1066
165,Adwokat,1984-04-13,10863.99,1984-06-13,4211
166,Fakturzystka,1997-11-26,5944.09,1998-02-03,400
167,Specjalista ds. reklamacji,2014-04-09,2410.32,2014-07-21,4849
168,Doradca zawodowy,1992-08-05,3544.95,1992-11-07,3297
169,Specjalista ds. obsługi klienta,1972-08-22,8573.76,1972-09-23,210
170,Lektor,2005-12-10,3357.7,2006-01-22,477
171,Lekarz,2009-11-15,10339.88,2009-12-23,1895
172,Dyrektor ds.Administracyjnych,2002-06-01,8508.81,2002-06-18,2355
173,Dyrektor ds. Personalnych,1992-03-18,8768.89,1992-05-10,4088
174,Pracownik biurowy,2013-12-15,6969.28,2014-03-21,1928
175,Specjalista ds. windykacji,1991-12-12,3964.96,1992-01-04,4300
176,Specjalista ds. PR,1997-05-14,5781.96,1997-05-31,4842
177,Ekonomista,2004-04-23,4643.03,2004-07-27,2103
178,Programista baz danych,1976-05-05,8904.64,1976-08-13,2829
179,Doradca techniczno-handlowy,1974-01-17,2664.88,1974-02-07,4667
180,Konsultant ds. Wdrożeń,1992-02-12,10320.64,1992-05-29,682
181,Specjalista ds. transportu,1977-09-04,6401.38,1977-12-30,1988
182,Ekonomista,2002-01-20,5005.7,2002-03-19,289
183,Kierownik Magazynu,1974-12-20,4636.72,1975-01-25,1245
184,Analityk rynku,2016-03-10,9532.25,2016-06-02,1785
185,Grafik,1994-09-03,4742.88,1994-09-07,2964
186,Handlowiec,1978-06-05,5595.45,1978-09-04,3356
187,Pilot wycieczek,1973-09-24,10961.87,1973-11-25,3551
188,Dyrektor ds. Marketingu,1979-09-03,3994.43,1979-09-18,3123
189,Programista baz danych,1987-03-13,6434.79,1987-07-03,1716
190,Koordynator sprzedaży,1998-10-17,7614.05,1998-10-23,112
191,Laborant,1996-01-15,2528.71,1996-04-29,1960
192,Specjalista ds. ochrony środowiska,1976-11-19,7508.1,1977-02-12,4004
193,Lektor,1997-06-07,10688.93,1997-08-29,3454
194,Dyrektor ds. Logistyki,1977-04-07,11334.57,1977-07-10,759
195,Przedstawiciel handlowy,1989-12-02,3236.49,1990-01-16,2346
196,Projektant IT,1998-11-15,6261.34,1998-12-09,4090
197,Doradca finansowy,1987-05-06,3884.45,1987-06-05,2189
198,Inżynier ds. Wdrażania Produkcji,1996-07-02,9638.24,1996-10-14,2709
199,Ekonomista,1980-07-28,4799.53,1980-07-31,121
200,Administrator danych osobowych,1993-11-20,6691.08,1994-02-12,740
201,Agent celny,1980-11-07,4678.15,1981-01-31,1573
202,Kurator sądowy,1990-04-18,1647.93,1990-06-28,2424
203,Farmaceuta,1993-09-28,1630.51,1994-01-02,735
204,Pracownik biurowy,2009-10-16,5190.31,2009-10-19,532
205,Specjalista ds. marketingu,1997-05-02,6384.85,1997-05-07,4968
206,Specjalista ds. BHP,2006-12-28,2573.7,2007-02-20,3245
207,Inżynier ds. Wdrażania Produkcji,1979-11-24,6367.87,1980-01-03,3216
208,Project Manager,2014-01-12,7184.54,2014-03-29,931
209,Urzędnik państwowy,2002-11-10,4540.78,2002-12-21,104
210,Przedstawiciel medyczny,1972-08-09,7310.42,1972-09-03,2042
211,Inżynier Środowiska,2016-04-06,2074.91,2016-05-16,2169
212,Technolog,2006-09-14,11466.79,2006-10-09,4613
213,Koordynator robót budowlanych,2001-08-09,2768.17,2001-10-06,2358
214,Specjalista ds. windykacji,2006-06-23,10594.32,2006-07-09,1070
215,Copywriter,2005-11-22,9760.19,2006-02-05,4850
216,Konsultant ds. Wdrożeń,2015-12-06,2325.61,2016-03-05,3774
217,Lektor,1971-06-17,8340.55,1971-10-05,1098
218,Geodeta,2009-01-19,9109.45,2009-03-26,3464
219,Inżynier ds. Wdrażania Produkcji,1986-09-14,9137.88,1986-10-22,1532
220,Rzeczoznawca,2016-05-27,3432.73,2016-07-16,4486
221,Recepcjonistka,2007-03-06,3593.57,2007-05-01,3533
222,Kierownik punktu sprzedaży,2013-08-28,7829.19,2013-11-17,4228
223,Adwokat,1998-03-20,7042.25,1998-05-13,1263
224,Administrator,2009-12-04,8738.35,2010-01-02,1261
225,Lektor,1980-11-12,4198.76,1981-03-09,321
226,Administrator,1994-03-10,7752.75,1994-03-25,3118
227,Prezenter,1986-04-26,7981.32,1986-06-26,3976
228,Specjalista ds. transportu,1988-06-18,8022.24,1988-09-17,820
229,Lekarz,2004-10-19,3220.15,2005-01-22,329
230,Dyrektor ds.Administracyjnych,1992-03-03,2710.76,1992-05-11,924
231,Lektor,1990-05-28,4349.05,1990-09-06,1280
232,Dyrektor ds. Marketingu,1996-09-03,3376.87,1996-09-24,3385
233,Lekarz,1992-02-22,7596.65,1992-04-12,3185
234,Przedstawiciel medyczny,2002-01-02,8758.65,2002-03-02,1578
235,Lektor,2014-09-09,5470.58,2014-10-16,2496
236,Dyrektor ds.Administracyjnych,1987-01-01,1517.47,1987-02-12,3655
237,Konstruktor,1971-05-01,3842.8,1971-08-17,4322
238,Asystentka zarządu,2010-03-09,10675.05,2010-06-06,4861
239,Agent celny,2007-04-11,3950.71,2007-06-06,3899
240,Notariusz,1991-09-08,5982.37,1991-10-31,545
241,Fakturzystka,1991-01-13,5612.82,1991-04-29,2891
242,Handlowiec,1976-06-17,1668.84,1976-07-04,1609
243,Konstruktor,1995-04-15,5654.81,1995-05-30,2354
244,Rzeczoznawca,1980-05-25,7642.03,1980-08-27,2286
245,Architekt wnętrz / krajobrazu,1997-10-21,8171.85,1997-12-30,2948
246,Recepcjonistka,2008-04-06,7767.38,2008-05-22,3174
247,Dyrektor ds. Logistyki,1989-06-10,7737.3,1989-06-26,4127
248,Spedytor,2013-08-27,8331.75,2013-09-06,748
249,Konstruktor,1973-01-23,7193.34,1973-04-18,269
250,Dyrektor ds.Administracyjnych,1982-02-08,8136.08,1982-04-26,1635
251,Kurator sądowy,1978-12-15,8985.47,1979-01-30,1113
252,Technolog,1988-09-20,7936.67,1988-11-23,1396
253,Lektor,1986-10-10,4279.84,1987-01-27,1003
254,Analityk rynku,2006-06-05,1643.31,2006-08-15,1871
255,Specjalista ds. marketingu,1981-09-05,6013.71,1981-11-07,4929
256,Adwokat,2002-02-22,7032.47,2002-06-08,4075
257,Architekt wnętrz / krajobrazu,1994-01-24,5556.23,1994-01-28,3560
258,Lektor,2000-11-05,3638.12,2000-12-07,1919
259,Pracownik socjalny,1990-03-08,9474.15,1990-05-24,2277
260,Trener,1985-05-25,2378.13,1985-05-30,2563
261,Specjalista ds. turystyki,1982-03-25,9189.93,1982-06-09,4457
262,Urzędnik państwowy,1998-10-13,4568.98,1999-01-24,2959
263,Copywriter,1991-09-15,7737.07,1991-11-05,2177
264,Specjalista ds. marketingu,2014-01-25,9580.85,2014-04-13,135
265,Dyrektor ds. Finansowych,1971-12-11,11476.56,1972-02-23,3121
266,Księgowa,2016-09-06,9949.99,2016-09-23,3369
267,Koordynator robót budowlanych,1972-03-09,6600.37,1972-06-05,3994
268,Programista PLC,1993-06-25,2763.54,1993-10-01,1593
269,Geodeta,1974-04-03,3048.14,1974-07-22,4732
270,Specjalista ds. dostaw,1992-11-09,7400.02,1993-03-05,2641
271,Projektant IT,1989-10-14,7451.21,1990-02-05,4706
272,Agenta nieruchomości,1974-04-10,1798.14,1974-07-23,2050
273,Dyrektor ds. Finansowych,1997-09-16,7703.1,1998-01-04,1758
274,Programista,2001-08-16,9019.22,2001-10-25,3113
275,Agenta nieruchomości,1971-01-25,5997.65,1971-02-09,4056
276,Pilot wycieczek,2007-02-23,8727.61,2007-05-20,818
277,Asystentka zarządu,1993-05-03,10537.05,1993-07-18,1165
278,Doradca zawodowy,2001-10-14,6839.08,2002-01-25,1028
279,Projektant IT,2002-10-04,7816.5,2002-11-03,3283
280,Specjalista ds. windykacji,2008-10-01,9761.48,2008-12-03,1613
281,Tłumacz,1980-05-25,10801.53,1980-06-08,1309
282,Projektant IT,2007-09-23,10073.07,2007-12-06,3785
283,Programista PLC,2009-08-12,9109.88,2009-11-03,1552
284,Kierownik Magazynu,2005-09-19,8936.93,2005-11-26,4524
285,Projektant wzornictwa,2016-03-06,4132.77,2016-06-14,867
286,Specjalista ds. reklamacji,1974-11-04,7595.9,1974-12-25,4889
287,Project Manager,1989-02-27,5454.39,1989-03-15,1959
288,Telemarketer,2015-02-28,5204.84,2015-05-10,3231
289,Kosztorysant,1997-11-07,4428.65,1998-01-21,946
290,Projektant wzornictwa,1977-09-19,6650.15,1977-11-18,334
291,Prawnik,1996-09-24,9717.99,1996-11-28,1067
292,Specjalista ds. BHP,1985-04-28,7100.82,1985-06-23,4045
293,Tester aplikacji,2014-03-10,6324.48,2014-05-14,583
294,Konstruktor,1977-07-12,7965.51,1977-07-22,856
295,Specjalista ds. turystyki,2012-07-02,9017.16,2012-10-22,3407
296,Ekonomista,1993-05-15,3281.53,1993-08-21,1878
297,Trener,1993-09-09,4731.45,1993-09-20,3393
298,Przedstawiciel medyczny,1985-03-23,8275.34,1985-06-02,4609
299,Doradca finansowy,1975-11-05,4627.99,1976-02-15,3340
300,Specjalista ds. funduszy unijnych,1978-08-01,3626.39,1978-10-10,3269
301,Laborant,1986-05-20,7693.16,1986-06-13,1781
302,Konsultant ds. Wdrożeń,1995-01-05,6845.19,1995-04-23,243
303,Urzędnik państwowy,1986-05-15,10183.08,1986-08-13,1152
304,Notariusz,1991-04-23,2094.53,1991-06-28,4708
305,Koordynator robót budowlanych,2002-12-09,9673.84,2003-01-10,2057
306,Specjalista ds. ochrony środowiska,2009-09-14,9742.34,2010-01-01,970
307,Telemarketer,2017-07-07,2374.92,2017-09-28,3233
308,Specjalista ds. BHP,1970-04-22,6666.84,1970-05-22,796
309,Tłumacz,2001-09-19,2544.18,2001-11-13,4920
310,Programista PLC,1997-06-14,7730.66,1997-08-01,4150
311,Dyrektor ds. Rozwoju,2010-07-28,9563.66,2010-11-09,1235
312,Copywriter,1979-03-05,2670.79,1979-05-20,2290
313,Specjalista ds. transportu,1988-03-19,9208.12,1988-04-08,4446
314,Specjalista ds. inwestycji,2014-11-01,8968.38,2014-12-06,138
315,Konstruktor,2011-08-24,8704.5,2011-10-12,4678
316,Kosztorysant,2013-09-14,11174.92,2013-12-06,364
317,Specjalista ds. inwestycji,1998-01-07,5519.19,1998-04-28,1906
318,Pracownik biurowy,1977-09-25,10012.04,1977-10-20,3842
319,Telemarketer,2017-07-22,2305.55,2017-09-30,1260
320,Specjalista ds. dostaw,1994-07-19,4208.04,1994-08-20,2387
321,Lektor,1990-05-20,9541.25,1990-08-16,535
322,Pilot wycieczek,2017-01-13,5032.65,2017-04-04,4262
323,Pełnomocnik ds. Jakości,1983-06-02,9088.96,1983-09-26,2160
324,Projektant IT,2015-09-12,6918.26,2015-10-06,391
325,Specjalista ds. PR,2017-11-20,9571.12,2018-01-26,4419
326,Trener,1973-12-08,6830.53,1973-12-19,1705
327,Architekt wnętrz / krajobrazu,1985-04-02,10532.14,1985-06-12,4212
328,Kierownik Magazynu,1995-10-12,10662.89,1995-12-19,159
329,Tłumacz,1991-06-20,4498.73,1991-10-09,1429
330,Przedstawiciel medyczny,1998-12-08,5467.79,1999-01-24,1013
331,Dyrektor ds.Administracyjnych,1987-09-23,5497.56,1987-11-28,3544
332,Kierownik punktu sprzedaży,2017-09-15,5863.1,2017-09-18,4845
333,Fakturzystka,1986-02-21,9628.21,1986-05-25,4558
334,Kurator sądowy,1980-09-10,9655.01,1980-12-19,4818
335,Lektor,1977-10-19,5604.03,1977-10-23,557
336,Kurator sądowy,1989-02-07,6142.21,1989-05-27,2637
337,Konstruktor,1970-09-22,4362.9,1970-10-14,2539
338,Inżynier Środowiska,1997-10-15,4457.01,1997-11-25,4388
339,Projektant wzornictwa,1988-10-09,9037.29,1988-12-16,4799
340,Administrator danych osobowych,1995-04-12,2736.16,1995-04-22,1233
341,Doradca zawodowy,1984-12-17,11071.46,1985-02-25,315
342,Dyrektor ds.Administracyjnych,2009-02-04,2060.64,2009-04-13,4376
343,Webmaster,1991-03-14,10986.9,1991-04-27,1826
344,Projektant wzornictwa,2003-03-23,7946.98,2003-06-02,373
345,Kosztorysant,1995-02-08,9759.78,1995-03-01,2207
346,Dietetyk,2017-07-05,9266.12,2017-07-18,2317
347,Prawnik,2012-11-19,9168.82,2012-12-08,2825
348,Automatyk,2009-06-23,1774.75,2009-07-10,4094
349,Ekonomista,2004-07-18,9491.38,2004-07-31,4786
350,Inżynier utrzymania ruchu,2010-10-15,10969.14,2010-12-31,999
351,Przedstawiciel handlowy,1999-11-18,6368.58,1999-12-07,1929
352,Doradca zawodowy,1985-10-02,9084.92,1986-01-07,2728
353,Inżynier ds. Wdrażania Produkcji,1983-03-08,8287.45,1983-06-17,1481
354,Koordynator robót budowlanych,1985-01-21,6173.74,1985-02-23,3719
355,Agent celny,1981-02-23,9718.05,1981-02-25,290
356,Specjalista ds. zakupów,1977-01-15,8772.18,1977-05-01,3235
357,Trener,2017-07-09,7162.27,2017-11-02,1716
358,Agenta nieruchomości,2016-11-16,5391.22,2017-01-08,3697
359,Inżynier ds. Wdrażania Produkcji,2017-04-13,4514.79,2017-04-19,2575
360,Webmaster,2015-07-09,2363.27,2015-10-16,2978
361,Kierownik Magazynu,1976-02-02,6220.42,1976-04-09,3395
362,Specjalista ds. BHP,1973-02-10,9681.53,1973-02-24,443
363,Adwokat,2004-05-11,7955.78,2004-05-20,420
364,Dziennikarz,1993-05-21,6080.04,1993-08-21,2034
365,Geodeta,1972-05-08,6199.34,1972-08-21,4038
366,Administrator,2011-11-21,8859.21,2012-02-25,2576
367,Doradca zawodowy,1975-05-18,3470.68,1975-05-22,2516
368,Doradca techniczno-handlowy,2012-09-21,6966.11,2012-10-22,1726
369,Specjalista ds. marketingu,2008-04-11,10092.98,2008-07-02,1295
370,Office Manager,2009-10-24,8580.81,2010-02-13,2103
371,Dyrektor ds. Logistyki,2008-10-28,2231.62,2008-12-14,770
372,Specjalista ds. marketingu,1996-08-15,7088.82,1996-10-24,2600
373,Grafik,1988-04-18,4264.29,1988-04-28,435
374,Doradca techniczno-handlowy,2001-03-01,6246.9,2001-05-19,2137
375,Kierownik punktu sprzedaży,2005-09-17,8638.98,2005-10-16,155
376,Pilot wycieczek,1979-09-10,9446.98,1979-12-03,573
377,Inżynier Środowiska,1994-06-16,6426.57,1994-08-30,4969
378,Dyrektor ds. Sprzedaży,1978-06-03,4170.1,1978-06-23,2129
379,Przedstawiciel handlowy,2009-07-01,8487.28,2009-09-08,1119
380,Specjalista ds. transportu,2005-11-28,11088.7,2005-12-23,2208
381,Specjalista ds. planowania produkcji,2003-02-06,5165.63,2003-05-04,2870
382,Programista baz danych,1974-12-27,7612.74,1975-01-09,467
383,Webmaster,1993-11-19,1528.08,1993-12-02,3543
384,Geodeta,1984-11-02,11246.31,1984-12-10,2314
385,Laborant,1989-10-06,5162.71,1990-01-25,2784
386,Specjalista ds. BHP,1975-04-17,3793.68,1975-06-13,1297
387,Asystentka zarządu,2017-05-19,3062.35,2017-07-15,1623
388,Przedstawiciel medyczny,1992-05-14,8349.88,1992-07-11,1840
389,Automatyk,1995-11-27,8804.95,1995-12-08,4709
390,Dyrektor ds. Sprzedaży,1987-09-21,4430.24,1987-12-06,821
391,Specjalista ds. badań i rozwoju,1977-06-16,2535.45,1977-09-12,1837
392,Konsultant ds. Wdrożeń,2017-09-17,9475.44,2017-11-04,1366
393,Project Manager,1993-09-09,9293.77,1994-01-01,4610
394,Adwokat,2001-01-11,3978.29,2001-04-17,587
395,Specjalista ds. PR,1991-11-12,8252.67,1992-01-30,1784
396,Specjalista ds. obsługi klienta,2015-02-25,8480.36,2015-03-19,1848
397,Product Manager,1970-03-03,11203.14,1970-03-04,2420
398,Doradca zawodowy,1987-07-13,8821.89,1987-10-06,4027
399,Office Manager,1993-01-16,6250.02,1993-05-06,1810
400,Pracownik biurowy,2008-11-21,10908.27,2009-01-03,485
401,Kosztorysant,1984-09-02,4257.46,1984-09-19,2913
402,Kierownik Magazynu,2009-05-20,8444.58,2009-07-04,1247
403,Automatyk,1975-03-07,2044.08,1975-03-14,4130
404,Lekarz,2002-06-21,8574.37,2002-07-28,1898
405,Adwokat,1976-06-08,2669.33,1976-06-17,2999
406,Administrator,1999-09-01,4931.96,1999-10-09,3974
407,Automatyk,1970-07-27,7511.7,1970-11-23,1831
408,Specjalista ds. obsługi klienta,2015-06-22,7359.87,2015-08-14,1924
409,Handlowiec,1983-07-17,6155.15,1983-11-01,1779
410,Administrator,1991-07-15,10879.63,1991-08-12,1044
411,Specjalista ds. BHP,1980-07-28,8661.6,1980-08-17,718
412,Laborant,1980-04-19,8809.85,1980-08-17,744
413,Pracownik socjalny,1988-10-14,2700.77,1988-11-02,3447
