96,"Doradca techniczno-handlowy",1995-10-20,6418.3,1995-11-22,2548}
97,"Tester aplikacji",1983-03-23,10894.24,1983-07-18,868}
98,"Koordynator sprzedaży",2009-01-06,10578.01,2009-03-09,4947}
99,"Inżynier ds. Wdrażania Produkcji",2000-11-22,3965.42,2001-03-22,4660}
100,"Inżynier Budowy",1976-05-19,6760.31,1976-06-13,2906}
101,"Geodeta",2013-06-17,4157.81,2013-10-11,3150}
102,"Lekarz",2014-02-17,7549.03,2014-05-29,3260}
103,"Programista",1988-06-23,6715.38,1988-07-16,1465}
104,"Fakturzystka",1970-08-18,8237.77,1970-11-15,2951}
105,"Pedagog",2003-10-12,7436.16,2003-12-15,2699}
106,"Pracownik socjalny",2010-03-10,5093.78,2010-04-03,3965}
107,"Specjalista ds. transportu",1994-04-21,9905.7,1994-04-28,1128}
108,"Programista PLC",1992-09-08,8207.16,1993-01-04,133}
109,"Dziennikarz",1994-04-14,5069.18,1994-07-09,2061}
110,"Administrator danych osobowych",1975-02-27,5232.38,1975-05-10,3409}
111,"Copywriter",2009-10-28,5075.33,2009-11-28,4366}
112,"Specjalista ds. funduszy unijnych",1970-08-15,6519.83,1970-10-14,372}
113,"Geodeta",1982-12-08,3323.85,1982-12-20,4603}
114,"Office Manager",2000-12-12,10899.27,2001-01-20,4063}
115,"Specjalista ds. transportu",2010-02-20,4370.49,2010-04-18,4810}
116,"Asystentka zarządu",1991-07-26,5492.22,1991-09-29,4707}
117,"Koordynator robót budowlanych",1973-06-26,2541.21,1973-08-04,2130}
118,"Przedstawiciel handlowy",1990-09-09,6256.59,1990-12-14,1285}
119,"Webmaster",1991-05-22,9539.82,1991-08-01,2598}
120,"Recepcjonistka",2004-04-02,8404.91,2004-05-01,338}
121,"Agent celny",2003-04-18,10307.09,2003-06-18,665}
122,"Projektant wzornictwa",1992-09-07,6038.24,1992-11-29,3671}
123,"Adwokat",1977-10-18,4703.97,1978-02-12,1993}
124,"Asystentka zarządu",1986-12-12,4430.24,1987-03-19,2857}
125,"Pracownik socjalny",1992-11-01,11163.92,1993-02-12,535}
126,"Doradca finansowy",2006-10-27,1891.98,2006-12-21,1502}
127,"Przedstawiciel medyczny",1991-07-03,2614.78,1991-08-09,4812}
128,"Notariusz",2013-01-06,9132.62,2013-02-04,1914}
129,"Lekarz",2009-08-20,7584.96,2009-08-27,3299}
130,"Doradca zawodowy",2012-01-24,6414.74,2012-04-05,1851}
131,"Koordynator robót budowlanych",1971-03-01,2654.32,1971-06-17,2799}
132,"Architekt budownictwa",1988-04-27,4830.45,1988-08-23,2516}
133,"Specjalista ds. marketingu",1987-01-18,5878.09,1987-02-13,4697}
134,"Przedstawiciel medyczny",2013-08-05,9834.55,2013-10-07,3133}
135,"Fakturzystka",1975-02-22,9403.77,1975-04-02,4296}
136,"Agenta nieruchomości",2009-12-20,8490.33,2010-04-15,3159}
137,"Agenta nieruchomości",2004-02-16,4955.92,2004-03-21,153}
138,"Specjalista ds. planowania produkcji",1979-10-24,7930.02,1980-01-20,1563}
139,"Dyrektor ds. Sprzedaży",1973-02-12,10791.01,1973-03-18,4352}
140,"Pracownik socjalny",1999-08-13,5575.0,1999-10-18,4043}
141,"Projektant IT",1970-07-24,2403.39,1970-08-28,1831}
142,"Lektor",1980-05-21,1698.5,1980-08-22,2615}
143,"Inżynier utrzymania ruchu",1988-10-23,8815.01,1989-02-10,3835}
144,"Konstruktor",2002-12-01,4227.58,2003-03-06,2840}
145,"Doradca techniczno-handlowy",2015-07-11,8981.01,2015-08-11,4294}
146,"Laborant",1974-09-15,8141.44,1974-11-19,2728}
147,"Pracownik biurowy",1982-09-12,11471.89,1982-12-14,1247}
148,"Specjalista ds. windykacji",1984-08-23,9947.57,1984-11-29,334}
149,"Specjalista ds. funduszy unijnych",2012-01-17,7791.35,2012-01-25,755}
150,"Pedagog",2010-09-15,4369.13,2010-12-13,3737}
151,"Inżynier utrzymania ruchu",2014-07-03,3672.08,2014-07-31,1237}
152,"Specjalista ds. funduszy unijnych",1979-09-22,5060.91,1979-10-26,4514}
153,"Pracownik biurowy",2004-11-03,9956.65,2004-11-28,2924}
154,"Specjalista ds. PR",2002-04-19,7885.5,2002-06-26,1470}
155,"Dyrektor ds.Administracyjnych",2000-04-06,10624.87,2000-04-11,4036}
156,"Specjalista ds. inwestycji",1984-04-08,9650.03,1984-06-23,2978}
157,"Dyrektor ds. Finansowych",1985-05-19,5107.59,1985-09-02,864}
158,"Webmaster",1981-11-17,7680.38,1982-02-15,3410}
159,"Pilot wycieczek",2009-08-08,4596.84,2009-10-10,2394}
160,"Kierownik punktu sprzedaży",2015-01-07,11077.03,2015-02-22,2509}
161,"Grafik",2001-04-05,9160.07,2001-07-08,908}
162,"Geodeta",2016-02-02,7044.24,2016-04-08,3096}
163,"Dyrektor ds.Administracyjnych",1998-08-06,7516.29,1998-10-19,3858}
164,"Tester aplikacji",1983-01-24,4008.81,1983-04-07,3930}
165,"Copywriter",2009-04-14,5141.28,2009-06-11,2123}
166,"Dietetyk",1970-05-18,4399.99,1970-09-04,4224}
167,"Specjalista ds. transportu",1977-07-25,7634.36,1977-10-17,1765}
168,"Kierownik Magazynu",2003-09-09,2989.79,2003-10-22,786}
169,"Project Manager",1972-07-01,6012.23,1972-09-07,4310}
170,"Specjalista ds. BHP",1979-07-28,3588.43,1979-08-29,3430}
171,"Tester aplikacji",1998-03-28,10563.4,1998-06-02,3279}
172,"Księgowa",1975-03-02,3649.17,1975-05-23,3152}
173,"Specjalista ds. reklamacji",2013-01-06,1885.46,2013-01-11,4733}
174,"Kosztorysant",2016-11-10,9560.16,2017-02-28,1648}
175,"Koordynator sprzedaży",1972-07-05,1805.59,1972-09-12,2663}
176,"Prawnik",1994-11-13,10289.31,1994-12-29,2646}
177,"Specjalista ds. PR",1997-02-07,11090.86,1997-05-11,519}
178,"Trener",1990-08-26,4611.18,1990-09-29,4378}
179,"Inżynier Budowy",2007-05-23,10918.35,2007-09-06,165}
180,"Lektor",1983-03-23,3819.36,1983-05-16,2318}
181,"Specjalista ds. turystyki",1971-11-20,2958.78,1972-01-25,2606}
182,"Analityk rynku",1993-07-05,10954.77,1993-09-10,132}
183,"Inżynier ds. Wdrażania Produkcji",2003-06-20,3373.55,2003-08-27,3032}
184,"Specjalista ds. windykacji",1980-09-11,3337.31,1980-10-07,830}
185,"Grafik",1986-01-23,9585.29,1986-05-11,3925}
186,"Pedagog",1970-08-19,5730.84,1970-08-21,3886}
187,"Dyrektor ds. Rozwoju",2003-07-05,5099.22,2003-08-06,1907}
188,"Dyrektor ds. Sprzedaży",1973-05-06,4471.25,1973-05-15,2924}
189,"Fakturzystka",2010-11-20,1990.13,2011-03-03,2425}
190,"Inżynier Środowiska",1994-04-08,1553.49,1994-07-20,2073}
191,"Trener",2016-07-22,8990.26,2016-11-17,3858}
192,"Kosztorysant",1982-02-08,11074.67,1982-02-25,167}
193,"Trener",1972-06-15,2517.46,1972-09-17,4528}
194,"Specjalista ds. obsługi klienta",1989-06-27,4193.68,1989-07-30,158}
195,"Dziennikarz",2013-04-07,1980.11,2013-05-17,3643}
196,"Agenta nieruchomości",1971-06-26,2715.34,1971-10-13,2892}
197,"Specjalista ds. badań i rozwoju",1999-11-11,3218.38,2000-01-30,3131}
198,"Administrator danych osobowych",1991-03-08,11423.69,1991-07-01,4167}
199,"Specjalista ds. zakupów",2007-10-02,1808.07,2007-12-14,4693}
200,"Spedytor",1982-10-05,3837.4,1982-10-16,3032}
201,"Pracownik biurowy",1997-06-24,6145.52,1997-10-08,3800}
202,"Webmaster",1972-12-23,6546.88,1973-02-28,870}
203,"Recepcjonistka",1970-11-20,2933.22,1971-02-12,2534}
204,"Koordynator sprzedaży",2013-09-24,4340.83,2014-01-17,3040}
205,"Handlowiec",1987-06-21,3540.96,1987-07-16,1860}
206,"Technolog",2000-03-06,10472.84,2000-03-19,2159}
207,"Trener",1975-04-10,8531.84,1975-05-03,2856}
208,"Dyrektor ds.Administracyjnych",2005-06-02,7380.33,2005-07-24,4252}
209,"Laborant",1973-02-23,4238.98,1973-03-21,3351}
210,"Przedstawiciel medyczny",2011-09-28,3345.71,2011-12-23,1800}
211,"Agenta nieruchomości",1970-04-09,4174.47,1970-08-02,2057}
212,"Ekonomista",1999-01-15,10643.71,1999-03-29,3812}
213,"Specjalista ds. reklamacji",1990-03-10,9537.86,1990-06-06,2223}
214,"Fakturzystka",1999-03-06,10397.94,1999-05-05,989}
215,"Programista PLC",2017-04-18,2545.96,2017-08-09,1921}
216,"Specjalista ds. badań i rozwoju",1972-06-28,4387.52,1972-07-07,107}
217,"Kierownik punktu sprzedaży",2006-07-27,7916.82,2006-10-23,4790}
218,"Specjalista ds. PR",1985-04-20,2194.84,1985-07-11,3391}
219,"Pracownik biurowy",2015-08-17,4903.62,2015-12-03,3129}
220,"Architekt wnętrz / krajobrazu",1983-12-02,4083.77,1984-03-03,1304}
221,"Księgowa",2014-10-28,4053.44,2015-02-13,3277}
222,"Dyrektor ds.Administracyjnych",1992-11-10,9868.89,1992-11-26,1629}
223,"Pracownik socjalny",1990-05-14,3132.29,1990-05-27,4594}
224,"Recepcjonistka",1976-01-12,9681.83,1976-01-30,578}
225,"Analityk rynku",2015-02-24,5395.33,2015-05-10,151}
226,"Programista PLC",1974-11-27,3419.97,1974-12-13,1862}
227,"Specjalista ds. planowania produkcji",1979-04-17,4184.93,1979-05-27,961}
228,"Specjalista ds. dostaw",2000-12-26,7211.93,2001-01-17,1954}
229,"Specjalista ds. badań i rozwoju",2016-11-06,4417.19,2017-02-27,3573}
230,"Prawnik",2008-11-18,3160.19,2009-02-27,4441}
231,"Prezenter",1980-03-02,10061.49,1980-05-07,4108}
232,"Specjalista ds. ochrony środowiska",2006-04-23,8787.52,2006-06-10,3873}
233,"Kierownik punktu sprzedaży",1997-06-19,10697.83,1997-10-01,1671}
234,"Projektant IT",1988-08-24,2508.85,1988-12-20,1572}
235,"Projektant konstrukcji budowlanych",1981-03-12,8313.56,1981-07-06,1534}
236,"Doradca zawodowy",1996-08-25,3772.96,1996-12-23,1378}
237,"Agenta nieruchomości",1971-02-01,3773.03,1971-02-19,1338}
238,"Dietetyk",2008-02-07,6941.3,2008-02-15,1254}
239,"Specjalista ds. BHP",1992-02-23,7403.64,1992-03-26,276}
240,"Dyrektor ds. Marketingu",1999-12-17,2178.54,2000-02-02,4400}
241,"Doradca techniczno-handlowy",1985-02-08,5014.1,1985-05-25,2568}
242,"Dyrektor ds. Personalnych",1970-03-02,8840.84,1970-06-22,636}
243,"Inżynier Środowiska",1979-09-22,2461.66,1979-11-06,3260}
244,"Architekt wnętrz / krajobrazu",2010-10-25,7687.29,2010-12-27,536}
245,"Dyrektor ds.Administracyjnych",1971-08-25,11396.07,1971-10-26,415}
246,"Asystentka zarządu",1976-04-10,4514.12,1976-04-17,4953}
247,"Programista",1972-02-16,8508.63,1972-02-17,2005}
248,"Programista baz danych",1998-02-10,9015.5,1998-05-28,3161}
249,"Doradca finansowy",1999-04-05,5981.59,1999-05-26,3336}
250,"Fakturzystka",2012-02-25,5256.18,2012-05-30,3730}
251,"Specjalista ds. funduszy unijnych",2000-01-04,5746.51,2000-04-28,3632}
252,"Specjalista ds. marketingu",2009-01-20,3409.31,2009-02-15,2616}
253,"Spedytor",1994-06-19,9200.19,1994-08-27,3368}
254,"Technolog",1973-01-25,11118.53,1973-02-05,1997}
255,"Pełnomocnik ds. Jakości",2009-06-03,5477.6,2009-09-17,2800}
256,"Programista",2007-01-24,5743.44,2007-04-03,1979}
257,"Product Manager",2013-01-03,6474.59,2013-01-04,2123}
258,"Lekarz",1981-03-27,10453.48,1981-06-27,1158}
259,"Farmaceuta",1973-05-16,3467.35,1973-08-27,2494}
260,"Konsultant ds. Wdrożeń",1983-06-06,6710.85,1983-06-14,3175}
261,"Księgowa",2007-02-11,7469.2,2007-03-23,1008}
262,"Technolog",1971-11-26,5914.56,1972-01-13,3476}
263,"Specjalista ds. BHP",1989-01-15,9207.08,1989-02-11,1828}
264,"Specjalista ds. ochrony środowiska",2006-02-28,6125.71,2006-04-15,3685}
265,"Urzędnik państwowy",2014-07-08,9384.98,2014-07-26,1955}
266,"Asystentka zarządu",2006-11-03,1657.2,2007-01-18,1146}
267,"Dyrektor ds. Sprzedaży",1994-09-08,1639.08,1994-09-29,4806}
268,"Pracownik socjalny",1986-10-27,5081.07,1987-02-05,4247}
269,"Grafik",2009-05-13,7155.08,2009-06-03,3399}
270,"Specjalista ds. obsługi klienta",1971-04-28,5255.27,1971-05-31,2206}
271,"Programista PLC",1972-12-20,9101.58,1973-01-01,2755}
272,"Konstruktor",1973-09-01,7321.49,1973-11-13,2843}
273,"Administrator",1999-10-04,9996.05,1999-12-24,1567}
274,"Specjalista ds. ochrony środowiska",2005-04-14,9516.84,2005-06-14,1613}
275,"Doradca finansowy",1982-05-23,7746.27,1982-07-30,1723}
276,"Dyrektor ds. Marketingu",2016-01-11,8432.46,2016-02-09,4984}
277,"Asystentka zarządu",2003-08-27,4248.57,2003-10-31,2851}
278,"Specjalista ds. turystyki",1983-02-04,6494.15,1983-03-07,480}
279,"Specjalista ds. obsługi klienta",1992-12-04,6024.07,1992-12-19,3646}
280,"Lekarz",1975-05-21,7361.53,1975-07-04,337}
281,"Architekt budownictwa",1976-12-03,11252.21,1977-04-01,3492}
282,"Product Manager",2001-01-26,6087.16,2001-04-29,1890}
283,"Pełnomocnik ds. Jakości",2017-12-20,10156.18,2018-02-07,3441}
284,"Agent celny",1981-11-28,3483.52,1981-12-28,2973}
285,"Fakturzystka",1977-07-12,6734.66,1977-08-02,4559}
286,"Product Manager",1979-01-02,1583.17,1979-03-02,2602}
287,"Ekonomista",2004-05-18,2270.33,2004-05-19,2360}
288,"Dietetyk",2006-06-12,5180.24,2006-07-12,1244}
289,"Doradca techniczno-handlowy",1976-07-24,10425.92,1976-09-05,2427}
290,"Asystentka zarządu",1991-03-06,3830.97,1991-05-02,1954}
291,"Księgowa",1976-06-17,7313.73,1976-08-04,982}
292,"Doradca techniczno-handlowy",2013-10-16,8193.34,2014-01-28,4130}
293,"Notariusz",2016-09-25,2592.59,2016-11-14,2622}
294,"Analityk rynku",2002-03-14,8693.32,2002-06-08,3624}
295,"Administrator danych osobowych",1996-09-05,7162.54,1996-09-14,391}
296,"Kurator sądowy",2010-08-07,2552.89,2010-12-05,1380}
297,"Koordynator sprzedaży",1982-10-02,7276.34,1982-11-15,3014}
298,"Specjalista ds. transportu",1974-09-25,10933.79,1975-01-09,3096}
299,"Inżynier ds. Wdrażania Produkcji",1991-03-24,8912.0,1991-04-13,617}
300,"Asystentka zarządu",1978-08-25,9151.01,1978-10-27,2545}
301,"Adwokat",2001-11-07,2419.23,2001-12-30,3630}
302,"Specjalista ds. inwestycji",2014-12-17,9146.38,2015-02-25,2093}
303,"Rzeczoznawca",2005-03-08,2384.36,2005-06-11,4239}
304,"Koordynator robót budowlanych",2003-01-19,3615.69,2003-05-10,583}
305,"Agent celny",1993-03-21,8343.8,1993-03-23,576}
306,"Pedagog",2002-11-12,2928.08,2002-12-30,2427}
307,"Specjalista ds. marketingu",2006-06-02,10320.42,2006-06-21,4051}
308,"Architekt wnętrz / krajobrazu",1977-12-24,8283.5,1978-03-12,3287}
309,"Specjalista ds. reklamacji",2006-01-05,10464.6,2006-03-14,4404}
310,"Specjalista ds. turystyki",2001-02-10,7325.35,2001-04-25,4005}
311,"Trener",1979-01-26,9921.38,1979-05-01,4242}
312,"Dyrektor ds. Marketingu",1978-05-20,10337.73,1978-07-30,1741}
313,"Księgowa",2013-04-01,4641.28,2013-05-28,1804}
314,"Projektant IT",1976-05-11,4658.75,1976-07-16,4906}
315,"Architekt budownictwa",2015-12-18,4405.54,2016-03-11,2664}
316,"Prawnik",2010-12-15,10594.52,2011-02-13,760}
317,"Pilot wycieczek",1976-04-24,4734.88,1976-06-27,2203}
318,"Technolog",1973-12-13,10382.62,1974-02-02,1880}
319,"Doradca finansowy",2003-03-26,9113.3,2003-05-25,4520}
320,"Specjalista ds. dostaw",2004-05-27,1646.12,2004-06-12,4461}
321,"Doradca techniczno-handlowy",2000-02-12,4665.61,2000-04-07,1206}
322,"Architekt wnętrz / krajobrazu",2001-08-25,9273.84,2001-09-28,4120}
323,"Inżynier Budowy",1981-03-14,10705.48,1981-06-10,2618}
324,"Specjalista ds. zakupów",1990-10-11,10318.73,1990-12-15,134}
325,"Przedstawiciel medyczny",1992-11-21,10341.57,1993-02-03,3167}
326,"Dyrektor ds. Finansowych",2017-06-12,2748.76,2017-07-10,1264}
327,"Grafik",2014-02-15,6250.07,2014-04-10,2095}
328,"Laborant",1983-06-18,9927.74,1983-07-15,3357}
329,"Projektant konstrukcji budowlanych",2007-02-02,3456.06,2007-02-12,1780}
330,"Inżynier utrzymania ruchu",2017-06-06,3744.51,2017-06-10,4861}
331,"Webmaster",1998-04-16,7861.88,1998-08-11,548}
332,"Kosztorysant",1984-02-11,6203.08,1984-06-02,857}
333,"Księgowa",1974-08-17,6530.57,1974-10-03,3276}
334,"Specjalista ds. planowania produkcji",2005-10-01,6748.19,2005-11-20,2905}
335,"Recepcjonistka",1977-07-12,2882.96,1977-10-29,3315}
336,"Tłumacz",1971-09-07,8677.28,1971-09-11,3700}
337,"Kierownik Magazynu",1981-09-26,2873.98,1981-10-23,2293}
338,"Specjalista ds. ochrony środowiska",2004-01-15,4989.88,2004-04-02,1936}
339,"Asystentka zarządu",2001-01-24,11047.75,2001-05-23,1731}
340,"Handlowiec",1973-01-08,7453.02,1973-04-04,1916}
341,"Geodeta",1970-12-22,1787.48,1971-02-28,3358}
342,"Programista PLC",2009-08-10,1522.72,2009-09-06,2849}
343,"Administrator",1973-02-19,4716.66,1973-04-05,4303}
344,"Prezenter",2003-08-12,2124.7,2003-11-25,4339}
345,"Pedagog",1979-08-01,5490.19,1979-08-31,3216}
346,"Pilot wycieczek",1984-06-14,5301.02,1984-08-16,682}
347,"Specjalista ds. obsługi klienta",2006-08-15,3458.08,2006-12-11,3879}
348,"Dyrektor ds. Marketingu",2011-06-04,2394.89,2011-09-16,3552}
349,"Inżynier Środowiska",1986-11-19,6147.39,1987-01-01,1138}
350,"Konstruktor",1970-09-18,6572.66,1970-11-22,1817}
351,"Specjalista ds. PR",1987-12-16,10343.44,1988-04-07,4756}
352,"Dziennikarz",2011-09-06,4253.51,2011-12-03,3514}
353,"Lektor",2014-04-01,4257.3,2014-04-16,1660}
354,"Kierownik punktu sprzedaży",2006-05-27,7808.44,2006-06-23,3810}
355,"Product Manager",1971-04-08,10766.07,1971-06-22,2822}
356,"Rzeczoznawca",1990-03-27,4754.33,1990-07-24,4105}
357,"Doradca zawodowy",1979-10-27,3842.5,1980-01-12,3185}
358,"Trener",1982-09-22,3617.3,1982-11-07,3616}
359,"Trener",1977-01-10,9293.01,1977-02-11,4260}
360,"Dyrektor ds.Administracyjnych",2000-12-26,8870.54,2001-01-30,3939}
361,"Specjalista ds. reklamacji",2007-07-11,7657.83,2007-10-30,1746}
362,"Grafik",2017-05-28,7708.99,2017-07-12,315}
363,"Office Manager",2012-08-08,8313.62,2012-09-28,4038}
364,"Specjalista ds. reklamacji",1983-11-21,5313.24,1983-12-05,1154}
365,"Doradca zawodowy",1988-11-28,2957.2,1989-03-02,1703}
366,"Projektant konstrukcji budowlanych",1987-03-10,2786.9,1987-03-18,2546}
367,"Kierownik Magazynu",1980-12-07,7394.47,1980-12-18,3080}
368,"Koordynator sprzedaży",2003-04-28,6151.8,2003-06-05,1923}
369,"Projektant konstrukcji budowlanych",1989-07-08,5412.44,1989-09-24,4907}
370,"Asystentka zarządu",1990-12-07,6785.56,1991-01-26,1551}
371,"Dyrektor ds. Logistyki",1992-11-26,3076.07,1993-01-16,2883}
372,"Projektant konstrukcji budowlanych",1981-01-15,1905.94,1981-02-01,1232}
373,"Ekonomista",1977-06-24,3204.06,1977-08-07,2483}
374,"Specjalista ds. PR",1972-03-21,3701.75,1972-07-17,2451}
375,"Pełnomocnik ds. Jakości",2005-02-03,7667.8,2005-02-08,4178}
376,"Asystentka zarządu",2016-01-13,4090.88,2016-03-23,3610}
377,"Specjalista ds. planowania produkcji",2012-06-21,2621.31,2012-08-16,1099}
378,"Przedstawiciel handlowy",2004-04-28,5196.47,2004-07-12,2565}
379,"Grafik",2002-03-13,2988.3,2002-05-11,3409}
380,"Agent celny",1980-06-14,9059.49,1980-08-16,823}
381,"Trener",1988-02-17,11349.74,1988-05-24,2902}
382,"Telemarketer",1981-09-05,4983.83,1981-10-15,1418}
383,"Kosztorysant",2015-03-08,1996.23,2015-05-13,2279}
384,"Telemarketer",1991-06-01,2659.51,1991-09-23,870}
385,"Projektant konstrukcji budowlanych",2000-05-02,5321.26,2000-06-20,3569}
386,"Farmaceuta",2002-05-16,9814.09,2002-06-18,3156}
